# "Time","Ratio"
0.00,7.503
0.05,7.542
0.10,7.598
0.15,7.673
0.20,7.692
0.25,7.692
0.30,7.748
0.35,7.767
0.40,7.805
0.45,7.805
0.50,7.805
0.55,7.681
0.60,7.880
0.65,7.880
0.70,7.898
0.75,7.936
0.80,7.829
0.85,7.973
0.90,7.993
0.95,8.030
1.00,8.068
1.05,7.902
1.10,8.030
1.15,8.087
1.20,8.105
1.25,8.125
1.30,7.995
1.35,8.180
1.40,8.200
1.45,8.180
1.50,8.180
1.55,8.087
1.60,8.256
1.65,8.256
1.70,8.422
1.75,8.200
1.80,8.218
1.85,8.200
1.90,8.306
1.95,8.218
2.00,8.237
2.05,8.256
2.10,8.256
2.15,8.256
2.20,8.256
2.25,8.256
2.30,8.256
2.35,8.275
2.40,8.256
2.45,8.256
2.50,8.256
2.55,8.275
2.60,8.237
2.65,8.237
2.70,8.256
2.75,8.256
2.80,8.256
2.85,8.256
2.90,8.200
2.95,8.237
3.00,8.218
3.05,8.218
3.10,8.237
3.15,8.200
3.20,8.200
3.25,8.218
3.30,8.162
3.35,8.200
3.40,8.180
3.45,8.180
3.50,8.180
3.55,8.180
3.60,8.180
3.65,8.162
3.70,8.162
3.75,8.162
3.80,8.143
3.85,8.125
3.90,8.087
3.95,8.105
4.00,8.087
4.05,8.068
4.10,8.012
4.15,7.955
4.20,7.936
4.25,7.936
4.30,7.917
4.35,7.898
4.40,7.842
4.45,7.805
4.50,7.823
4.55,7.842
4.60,7.823
4.65,7.785
4.70,7.785
4.75,7.748
4.80,7.730
4.85,7.692
4.90,7.635
4.95,7.617
5.00,7.598
5.05,7.598
5.10,7.560
5.15,7.485
5.20,7.485
5.25,7.503
5.30,7.447
5.35,7.428
5.40,7.390
5.45,7.353
5.50,7.335
5.55,7.297
5.60,7.278
5.65,7.184
5.70,7.072
5.75,7.052
5.80,7.052
5.85,7.052
5.90,6.808
5.95,6.732
6.00,6.695
6.05,6.695
6.10,6.695
6.15,6.829
6.20,6.695
6.25,6.695
